code_producteur,n
10304403654,1
10304403653,1
10304403670,1
10304403672,1
10304403651,1
10304403681,1
10304403688,1
10304403687,1
10304403686,1
10304403685,1
10304403684,1
10304403682,1
10304403680,1
10304403673,1
10304403679,1
10304403678,1
10304403677,1
10304403676,1
10304403675,1
10304403674,1
10304403652,1
10304403650,1
10304003821,1
10304103524,1
10304303608,1
10304303607,1
10304303606,1
10304303605,1
10304303604,1
10304103526,1
10304103523,1
10304303610,1
10304103521,1
10304103520,1
10304103519,1
10304103517,1
10304103516,1
10304003822,1
10304303609,1
10304303611,1
10304403649,1
10304403642,1
10304403648,1
10304403647,1
10304403646,1
10304403645,1
10304403644,1
10304403643,1
10304303880,1
10304303612,1
10304303618,1
10304303617,1
10304303616,1
10304303615,1
10304303614,1
10304303613,1
1030030616,1
1030023345,1
1030023343,1
FT/084-N1572,1
FT/084-L951,1
FT/084-L950,1
FT/084-L943,1
FT/084-L940,1
FT/084-L936,1
FT/084-L935,1
FT/084-L932,1
FT/084-L931,1
FT/084-K833,1
FT/084-K718,1
FT/084-K285,1
FT/084-K280,1
FT/084-K276,1
FT/084-K260,1
FT/084-K2595,1
FT/084-L953,1
FT/084-L961,1
FT/084-N3021,1
FT/084-N1549,1
FT/084-N1565,1
FT/084-N1564,1
FT/084-N1563,1
FT/084-N1556,1
FT/084-N1553,1
FT/084-N1550,1
FT/084-N2876,1
FT/084-N3024,1
FT/084-Y512,1
FT/084-Y474,1
FT/084-Y456,1
FT/084-N2883,1
FT/084-N2874,1
FT/084-N3026,1
FT/084-K258,1
FT/084-K238,1
FT/084-K234,1
FT/084-K395,1
FT/084-K1118,1
FT/084-K1116,1
FT/084-K1111,1
FT/084-K1104,1
FT/084-K803,1
FT/084-K801,1
FT/084-K388,1
FT/084-K1126,1
FT/084-K384,1
FT/084-K383,1
FT/084-K382,1
FT/084-K381,1
FT/084-K380,1
FT/084-K379,1
FT/084-K1121,1
FT/084-K1188,1
FT/084-K227,1
FT/084-K1370,1
FT/084-K220,1
FT/084-K198,1
FT/084-K1916,1
FT/084-K188,1
FT/084-K1372,1
FT/084-K1371,1
FT/084-K1364,1
FT/084-K1218,1
FT/084-K1362,1
FT/084-K1361,1
FT/084-K1352,1
FT/084-K464,1
FT/084-K1540,1
FT/084-K1491,1
FT/084-N1566,1
FT/084-N1573,1
1030023322,1
FT/084-N1574,1
FT/084-S2000,1
FT/084-S1285,1
FT/084-S1275,1
FT/084-S1274,1
FT/084-S1269,1
FT/084-S1268,1
FT/084-O962,1
FT/084-O952,1
FT/084-O928,1
FT/084-O2785,1
FT/084-O2784,1
FT/084-O2783,1
FT/084-O2782,1
FT/084-O1509,1
FT/084-O1507,1
FT/084-S2288,1
FT/084-S2296,1
FT/084-S5504,1
FT/084-T2475,1
FT/084-T2496,1
FT/084-T2486,1
FT/084-T2485,1
FT/084-T2482,1
FT/084-T2480,1
FT/084-T2477,1
FT/084-T2051,1
FT/084-S5505,1
FT/084-T1980,1
FT/084-T162,1
FT/084-T134,1
FT/084-T002,1
FT/084-D734,1
FT/084-D731,1
FT/084-O1505,1
FT/084-O1503,1
FT/084-O1501,1
FT/084-N2832,1
FT/084-N2859,1
FT/084-N2858,1
FT/084-N2851,1
FT/084-N2849,1
FT/084-N2844,1
FT/084-N2839,1
FT/084-N2830,1
FT/084-N2862,1
FT/084-N2827,1
FT/084-N2822,1
FT/084-N2820,1
FT/084-N2813,1
FT/084-N1579,1
FT/084-N1576,1
FT/084-N2860,1
