numero_ordre,cooperative,code_plantation,code_producteur,autres_codes,superficie_cacao_ha,rendement_kg_ha,estimation_kg,variete_cacao,gerant,nom_gerant,latitude,longitude,donnees_polygonales
3113,A,FT/084-G2030-P001,FT/084-G2030,,1.96,677.0408163265306,1327,Tout Venant,Non,,6.3693,-5.144,
3114,A,FT/084-G2031-P001,FT/084-G2031,,2.461,674.9288906948395,1661,Tout Venant,Non,,6.37,-5.1452,
3115,A,FT/084-B2108-P001,FT/084-B2108,,4.25,674.8235294117648,2868,Tout Venant,Non,,6.3906,-5.2609,
3116,A,FT/084-D678-P001,FT/084-D678,,1.64,676.219512195122,1109,Tout Venant,Non,,6.4477,-5.1491,
3117,A,FT/084-D2360-P001,FT/084-D2360,,2.177,674.7818098300413,1469,Tout Venant,Non,,6.6081,-5.258,
3118,A,FT/084-D2371-P001,FT/084-D2371,,6.722,674.9479321630466,4537,Tout Venant,Non,,6.6117,-5.272,
3119,A,FT/084-D2811-P001,FT/084-D2811,,2.16,675.0,1458,Tout Venant,Non,,6.6406,-5.2421,
3120,A,FT/084-G2699-P001,FT/084-G2699,,1.14,676.3157894736843,771,Tout Venant,Non,,6.3206,-5.1339,
3121,A,FT/084-D703-P001,FT/084-D703,,1.14,678.9473684210527,774,Tout Venant,Non,,6.4325,-5.1829,
3122,A,FT/084-D2402-P001,FT/084-D2402,,1.09,677.9816513761467,739,Tout Venant,Non,,6.6445,-5.3247,
3123,A,FT/084-D2403-P001,FT/084-D2403,,1.77,677.4011299435028,1199,Tout Venant,Non,,6.6425,-5.3232,
3124,A,FT/084-D2404-P001,FT/084-D2404,,4.822,674.8237245956035,3254,Tout Venant,Non,,6.6598,-5.3008,
3125,A,FT/084-D2406-P001,FT/084-D2406,,2.345,674.6268656716418,1582,Tout Venant,Non,,6.6601,-5.3346,
3126,A,FT/084-K2759-P001,FT/084-K2759,,1.96,675.0,1323,Tout Venant,Non,,6.6003,-5.2999,
3127,A,FT/084-M1039-P001,FT/084-M1039,,2.614,674.8278500382556,1764,Tout Venant,Non,,6.4659,-5.1605,
3128,A,FT/084-M1055-P001,FT/084-M1055,,1.5,678.0,1017,Tout Venant,Non,,6.4512,-5.1683,
3129,A,FT/084-M2510-P001,FT/084-M2510,,5.921,674.8859989866577,3996,Tout Venant,Non,,6.4813,-5.1618,
3130,A,FT/084-N2879-P001,FT/084-N2879,,4.0,675.0,2700,Tout Venant,Non,,6.3383,-5.1301,
3131,A,FT/084-Y478-P001,FT/084-Y478,,3.1,674.8387096774194,2092,Tout Venant,Non,,6.3604,-5.0918,
3132,A,FT/084-Y480-P001,FT/084-Y480,,2.9,674.8275862068966,1957,Tout Venant,Non,,6.3358,-5.1334,
3133,A,FT/084-Y501-P001,FT/084-Y501,,5.3,674.9056603773585,3577,Tout Venant,Non,,6.3503,-5.153,
3134,A,FT/084-Y524-P001,FT/084-Y524,,3.5,674.8571428571429,2362,Tout Venant,Non,,6.3522,-5.1138,
3135,A,FT/084-Y527-P001,FT/084-Y527,,3.4,675.0,2295,Tout Venant,Non,,6.358,-5.0925,
3136,A,FT/084-Y537-P001,FT/084-Y537,,1.99,677.3869346733668,1348,Tout Venant,Non,,6.3668,-5.1216,
3137,A,FT/084-Y538-P001,FT/084-Y538,,4.8,675.0,3240,Tout Venant,Non,,6.3387,-5.1289,
3138,A,FT/084-T178-P001,FT/084-T178,,1.71,675.438596491228,1155,Tout Venant,Non,,6.3825,-5.1844,
3139,A,FT/084-T445-P001,FT/084-T445,,1.82,677.4725274725274,1233,Tout Venant,Non,,6.3792,-5.1869,
3140,A,FT/084-T1524-P001,FT/084-T1524,,1.58,676.5822784810126,1069,Tout Venant,Non,,6.3693,-5.1683,
3141,A,FT/084-T657-P001,FT/084-T657,,3.256,674.7542997542998,2197,Tout Venant,Non,,6.3677,-5.1478,
3142,A,FT/084-Z588-P001,FT/084-Z588,,1.93,676.6839378238342,1306,Tout Venant,Non,,6.5823,-5.3017,
3143,A,FT/084-Z618-P001,FT/084-Z618,,1.7,675.2941176470589,1148,Tout Venant,Non,,6.5829,-5.3012,
3151,A,10300104342-P001,10300104342,,1.1,690.9090909090909,760,Tout Venant,Non,,6.4034809,-5.1617644,
3156,A,10300104347-P001,10300104347,,6.74,691.3946587537092,4660,Tout Venant,Non,,6.3999065,-5.1662148,
3161,A,10300104352-P001,10300104352,,1.09,690.8256880733944,753,Tout Venant,Non,,6.4004212,-5.1704082,
3162,A,10300104353-P001,10300104353,,1.78,691.0112359550561,1230,Tout Venant,Non,,6.3899675,-5.1522109,
3165,A,10300104356-P001,10300104356,,1.92,691.1458333333334,1327,Tout Venant,Non,,6.4059282,-5.1624796,
3167,A,10300104358-P001,10300104358,,1.43,690.909090909091,988,Tout Venant,Non,,6.4231888,-5.1594058,
3171,A,10300104362-P001,10300104362,,1.54,690.9090909090909,1064,Tout Venant,Non,,6.4091438,-5.1396212,
3173,A,10300104364-P001,10300104364,,0.69,691.304347826087,477,Tout Venant,Non,,6.4118252,-5.1437633,
3188,A,10300104394-P001,10300104394,,1.58,691.1392405063291,1092,Tout Venant,Non,,6.402251,-5.2139465,
3194,A,10300104401-P001,10300104401,,2.03,691.1330049261085,1403,Tout Venant,Non,,6.3885531,-5.2470432,
3198,A,10300104405-P001,10300104405,,1.58,691.1392405063291,1092,Tout Venant,Non,,6.3938387,-5.2536535,
3204,A,10300104416-P001,10300104416,,1.51,691.3907284768212,1044,Tout Venant,Non,,6.4463861,-5.2685842,
3208,A,10300304227-P001,10300304227,,9.47,691.3410770855332,6547,Tout Venant,Non,,6.4968293,-5.285715,
3211,A,10300304230-P001,10300304230,,1.27,691.3385826771654,878,Tout Venant,Non,,6.4472414,-5.2770664,
3230,A,10300304251-P001,10300304251,,1.22,690.983606557377,843,Tout Venant,Non,,6.3983381,-5.2907737,
3244,A,10300304269-P001,10300304269,,2.01,691.0447761194031,1389,Tout Venant,Non,,6.3926618,-5.2487858,
3256,A,10300304281-P001,10300304281,,0.99,690.9090909090909,684,Tout Venant,Non,,6.5223279,-5.2981369,
3263,A,10300304298-P001,10300304298,,1.01,691.0891089108911,698,Tout Venant,Non,,6.437679,-5.2695614,
3264,A,10300304299-P001,10300304299,,2.92,691.0958904109589,2018,Tout Venant,Non,,6.4369420999999996,-5.2724069,
3267,A,10300304302-P001,10300304302,,1.63,691.4110429447853,1127,Tout Venant,Non,,6.4330038,-5.2689055,
3280,A,10300304321-P001,10300304321,,1.99,690.9547738693467,1375,Tout Venant,Non,,6.3885823,-5.2470648,
3287,A,10300704591-P001,10300704591,,2.27,691.1894273127754,1569,Tout Venant,Non,,6.4109756,-5.2052178,
3322,A,10302004681-P001,10302004681,,2.06,662.6213592233009,1365,Tout Venant,Non,,6.5959536,-5.3110865,
3394,A,10303204621-P001,10303204621,,0.72,662.5,477,Tout Venant,Non,,6.448045,-5.2161569,
3396,A,10303204623-P001,10303204623,,3.37,662.6112759643917,2233,Tout Venant,Non,,6.4350975,-5.2063038,
3397,A,10303204624-P001,10303204624,,2.53,662.8458498023716,1677,Tout Venant,Non,,6.450418,-5.2094812,
3398,A,10303204625-P001,10303204625,,1.24,662.0967741935484,821,Tout Venant,Non,,6.4242535,-5.2102068,
3400,A,10303204628-P001,10303204628,,1.16,662.0689655172414,768,Tout Venant,Non,,6.4518232,-5.194964,
3401,A,10303204629-P001,10303204629,,1.26,662.6984126984127,835,Tout Venant,Non,,6.4329184,-5.2207096,
3402,A,10303204630-P001,10303204630,,0.59,662.7118644067797,391,Tout Venant,Non,,6.463207,-5.1962912,
3409,A,10303504568-P001,10303504568,,3.46,731.5028901734104,2531,Tout Venant,Non,,6.3011443,-5.1163339,
3421,A,10304004475-P001,10304004475,,1.48,731.7567567567568,1083,Tout Venant,Non,,6.4564548,-5.1387469,
3432,A,10304204667-P001,10304204667,,1.25,691.2,864,Tout Venant,Non,,6.3365712,-5.1683841,
3435,A,10304204670-P001,10304204670,,0.85,690.5882352941177,587,Tout Venant,Non,,6.3325339,-5.1626264,
3503,A,10304404197-P001,10304404197,,1.02,691.1764705882352,705,Tout Venant,Non,,6.0563415,-4.6077662,
3521,A,10304504071-P001,10304504071,,1.5,691.3333333333334,1037,Tout Venant,Non,,6.4018581,-5.1543202,
3525,A,10304504075-P001,10304504075,,5.01,691.4171656686627,3464,Tout Venant,Non,,6.4424434,-5.1473856,
3535,A,10304604502-P001,10304604502,,1.54,662.3376623376623,1020,Tout Venant,Non,,6.4473175,-5.2770849,
3539,A,10304604517-P001,10304604517,,1.01,662.3762376237623,669,Tout Venant,Non,,6.4376393,-5.269503,
