identifiant,type_anomalie,colonne_concernee,valeur
FT/084-A2200-P001,Plantation sans producteur associé,code_producteur,FT/084-A2200
FT/084-A2728-P001,Plantation sans producteur associé,code_producteur,FT/084-A2728
FT/084-A1186-P001,Plantation sans producteur associé,code_producteur,FT/084-A1186
FT/084-A1197-P001,Plantation sans producteur associé,code_producteur,FT/084-A1197
FT/084-A1212-P001,Plantation sans producteur associé,code_producteur,FT/084-A1212
FT/084-A1256-P001,Plantation sans producteur associé,code_producteur,FT/084-A1256
FT/084-A1902-P001,Plantation sans producteur associé,code_producteur,FT/084-A1902
FT/084-A2569-P001,Plantation sans producteur associé,code_producteur,FT/084-A2569
FT/084-A2573-P001,Plantation sans producteur associé,code_producteur,FT/084-A2573
FT/084-A2579-P001,Plantation sans producteur associé,code_producteur,FT/084-A2579
FT/084-G1297-P001,Plantation sans producteur associé,code_producteur,FT/084-G1297
FT/084-G2443-P001,Plantation sans producteur associé,code_producteur,FT/084-G2443
FT/084-G2449-P001,Plantation sans producteur associé,code_producteur,FT/084-G2449
FT/084-T2475-P001,Plantation sans producteur associé,code_producteur,FT/084-T2475
FT/084-T2551-P001,Plantation sans producteur associé,code_producteur,FT/084-T2551
FT/084-T3037-P001,Plantation sans producteur associé,code_producteur,FT/084-T3037
FT/084-T893-P001,Plantation sans producteur associé,code_producteur,FT/084-T893
FT/084-G5052-P001,Plantation sans producteur associé,code_producteur,FT/084-G5052
FT/084-G2019-P001,Plantation sans producteur associé,code_producteur,FT/084-G2019
FT/084-G1944-P001,Plantation sans producteur associé,code_producteur,FT/084-G1944
FT/084-A2578-P001,Plantation sans producteur associé,code_producteur,FT/084-A2578
FT/084-A1191-P001,Plantation sans producteur associé,code_producteur,FT/084-A1191
1030040530,Écart estimation > 10 %,estimation_totale_kg,14.064602960969044
1030040531,Écart estimation > 10 %,estimation_totale_kg,-32.59668508287293
1030040532,Écart estimation > 10 %,estimation_totale_kg,-56.74044265593562
1030040533,Écart estimation > 10 %,estimation_totale_kg,144.02756508422664
1030040534,Écart estimation > 10 %,estimation_totale_kg,-34.0632603406326
1030040536,Écart estimation > 10 %,estimation_totale_kg,42.095238095238095
1030040537,Écart estimation > 10 %,estimation_totale_kg,-31.48148148148148
1030040539,Écart estimation > 10 %,estimation_totale_kg,95.12915129151291
1030040540,Écart estimation > 10 %,estimation_totale_kg,23.481781376518217
1030040553,Écart estimation > 10 %,estimation_totale_kg,26.978723404255316
1030040554,Écart estimation > 10 %,estimation_totale_kg,125.73623559539054
1030040556,Écart estimation > 10 %,estimation_totale_kg,107.02290076335879
1030040562,Écart estimation > 10 %,estimation_totale_kg,-29.03225806451613
1030040564,Écart estimation > 10 %,estimation_totale_kg,16.144314868804667
1030040570,Écart estimation > 10 %,estimation_totale_kg,-20.469361147327252
1030040572,Écart estimation > 10 %,estimation_totale_kg,-42.5531914893617
1030040573,Écart estimation > 10 %,estimation_totale_kg,-19.326065411298316
1030040574,Écart estimation > 10 %,estimation_totale_kg,54.82233502538071
1030040575,Écart estimation > 10 %,estimation_totale_kg,73.46123101518785
1030040579,Écart estimation > 10 %,estimation_totale_kg,78.98627243928195
1030040580,Écart estimation > 10 %,estimation_totale_kg,50.90802577621558
1030040581,Écart estimation > 10 %,estimation_totale_kg,-39.464285714285715
1030040584,Écart estimation > 10 %,estimation_totale_kg,15.375586854460094
1030040586,Écart estimation > 10 %,estimation_totale_kg,105.38720538720538
1030040589,Écart estimation > 10 %,estimation_totale_kg,-11.239414934565051
1030043437,Écart estimation > 10 %,estimation_totale_kg,38.59362224039248
1030043445,Écart estimation > 10 %,estimation_totale_kg,44.25531914893617
1030043446,Écart estimation > 10 %,estimation_totale_kg,50.22156573116692
1030043449,Écart estimation > 10 %,estimation_totale_kg,14.14141414141414
1030043450,Écart estimation > 10 %,estimation_totale_kg,196.448087431694
